OfferId,Outlet Name,Address line 1,Address line 2,Town/city,County,Postcode,Phone  ,Website,Description,Disabled access,ClaimCode,BookingInstructions1,BookingInstructions2,BookingInstructions3,BookingInstructions4,BookingInstructions5,BookingInstructions6,BookingInstructions7,CategoryKey
32,Quasar,4 Bang St,,Sheffield,South Yorkshire,S1 2DS,0114 272 1400,www.laserfun.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 - Valid Mon - Sun - Booking essential. Not to be used in conjunction with any other offers.,NO,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Action
33,Polar Palace Play & Party Centre,Unit 10 Pineapple Park,Road One,Winsford Industrial Estate,Winsford,CW7 3PR,01606 863 623,www.polarpalace.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 any day,YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Action
34,Bo'Ness Motor Museum,Bridgeness Road,,Bo'ness,Falkirk,EH51 9JR,01506 827 007,www.motor-museum.bo-ness.org.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 available on full paying adult price of œ5.95,YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Historic
35,Rushmoor Country Park,Louth Road,,North Cockerington,Louth,LN11 7DY,01507 327 184,www.rushmoorpark.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Two for one. (Not available with Early Bird Voucher) Excludes Bank Holiday,YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Daysoutgen
36,Want to canoe?,Racquety Farm,"Racquety Lodge, Racquty Farm",Hay-on-Wye,Herefordshire,HR3 5RS,01497 820 604,www.canoehire.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 on day trip canoe hire, Tuesday - Thursday all year round. T&C's apply and booking essential",Yes by arrangement,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Action
37,Yesterdays World,"89 - 90 High Street
",,Battle,"
East Sussex",TN33 0AQ,01424 777 226,www.yesterdaysworld.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 when accompanied by a full paying adult. Valid in 2015 only. Not to be used in conjunction with any other offer.,NO,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Historic
38,Museum of Power,Hatfield Road,,"Longford, (near Maldon, Essex)",Essex,CM9 6QA,01621 843 183,www.museumofpower.org.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 (one free entry with the purchase of an adult/concession) cheapest ticket free. Not available on special event days (see website for further details) Offer available Wednesday to Sunday until December 2015.,YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Historic
39,Twiggy's Play,"Unit 2, Concept Business Park",Allendale Road,,Thirsk,YO7 3NY,01845 523 553,www.twiggysplay.com,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 offer valid Monday to Friday from 2pm - 6pm during term time ONLY. Valid until January 2016,,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Action
40,Wheal Martyn Museum and Country Park,Carthew,,St Austell,Cornwall,PL26 8XG,01726 850 362,www.wheal-martyn.com,"Advanced booking is required. All Group admittances are at the discretion of the venue. Save up to œ9.50. 2 for 1 entry. Buy a full priced adult ticket and receive one ticket free. Free entry will be of equal or lower value to the one purchased. One discount per transaction, no cash refund or alternative.","YES - Due to the historic nature of the Wheal Martyn grounds access to some parts of the site is limited. The interactive gallery, shop and cafe are fully accessible.",,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Daysoutgen
41,Grampian Transport Museum,Alford,,,Aberdeenshire,AB33 8AE,01975 562 292,www.GTM.org.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Excludes following dates: 10/04/2015, 24/05/2015, 05/07/2015, 09/07/2015, 19/07/2015, 24/07/2015, 06/08/2015, 12/08/2015, 16/08/2015, 06/09/2015, 15/10/2015, 21/10/2015, 23/10/2015",YES - (Ground Floor) Partial,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Historic
42,The Devil's Porridge Museum,Stanfield,Annan Road,Eastriggs,Nr Annan,DG12 6TF,01461 700 021,www.devilsporridge.org.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Two for one entry.,YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Historic
43,Marsh Farm Animal Adventure Park,Marsh Road,South Woodham Ferrers,Chelmsford,Essex,CM3 5WP,01245 321 552,www.marshfarm.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Can only be used for general admission, not special events. One voucher per full paying customer, valid for single use until expiration 31st August 2015. ",YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Animals
44,Partyman world of play,Unit 9 The Boardwalk,West Thurrock,Grays,Essex,RM20 2ZP,01708 890 033,www.partymanworld.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Excludes special events, i.e Halloween and Christmas Parties",YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Action
45,Partyman world of play,Unit 14 Repton Close,Burnt Mills,Basildon,Essex,SS13 1LJ,01268 208660,www.partymanworld.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Excludes special events, i.e Halloween and Christmas Parties",YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Action
46,Partyman world of play,Vale Farm,,Watford Road,Wembley,HA0 3HG,020 8904 9044,www.partymanworld.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Excludes special events, i.e Halloween and Christmas Parties",YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Action
47,Partyman world of play,Roaring Meg Retail Park,,Stevenage,Hertfordshire,SG1 1XN,01438 745823,www.partymanworld.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Excludes special events, i.e Halloween and Christmas Parties",YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Action
48,Mount Stuart,Mount Stuart Drive,Wemyss Bay,Inverclyde,Isle of Bute,PA20 9LR,01700 503 877 / 01700 505 808,www.mountstuart.com,Advanced booking is required. All Group admittances are at the discretion of the venue. Mount Stuart is Open to the public from 29th March to 4th October 2015. Mount Stuart will be closed on select dates. Please check our website or call our team on 01700 503 877 for further information.,Partial Disabled Access,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Historic
49,Newmilns Snow and Sports Complex,35 High Street,Newmilns,East Ayrshire,Scotland,KA16 9EB,01560 322 320,www.skinewmilns.com,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 tubing for a hour. Only available Monday to Friday. Must be booked in advance. For ages 3+. Not available on Scottish public holidays or school holidays, with the exception of summer.",Yes into the Hut but not to the Toilets,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Action
50,Lincolnshire Aviation Heritage Centre,East Kirkby,,Spilsby,Lincolnshire,PE23 4DE,01790 763 207,www.lincsaviation.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 not valid on Special events.,YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Historic
51,Keith & Dufftown Railway,Dufftown Station,Station Road,Dufftown,Moray,AB55 4BA,01340 821 181,www.keith-dufftown-railway.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Railway operates weekends Easter to end of September. One child travels free with one adult fare paying passenger. Offer is not valid for special events or evening specials,YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Historic
52,Arniston House,Arniston Estate,,Gorebridge,Midlothian ,EH23 4RY,01875 830 515,www.arniston-house.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2-for-1 entry.,,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Historic
53,British Lawnmower Museum,106-114 Shakespeare St,,Southport,Merseyside,PR8 5AJ,01704 501 336,www.lawnmowerworld.com,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 adults tour tickets for the price of one during 2015 open season.,YES to 50%,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Historic
54,Llancaiach Fawr Manor,Gelligaer Road,Nelson,Treharris,Merthyr Tydfil,CF46 6ER,01443 412 248,www.llancaiachfawr.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 excludes wednesdays, 22 & 29th July, 5th, 12th, 19th August.",YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Historic
55,Green Howards Museum,Trinity Church Square,,Richmond,North Yorkshire,DL10 4QN,01748 806 561,www.greenhowards.org.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry - no exclusions. Open Mon - Sat 9 - 4. Sundays April - October.,YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Historic
56,Look And Sea Centre,63 - 65 Surrey Street,,Little Hampton,West Sussex,BN17 5AW,01903 718 984,www.lookandsea.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Child goes free when accompanied by a full paying adult,YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Daysoutgen
57,Cider Museum,21 Ryelands Street,,Hereford,Herefordshire,HR4 0LW,01432 354 207,www.cidermuseum.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 Opening hours: April - October 10am - 5 pm; November - March 11am - 3 pm. Closed Sundays but open Bank Holiday weekends.,Ground Floor only,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Historic
58,Shepherds Place Farm,Akeferry Road,,Doncaster,South Yorkshire,DN9 2NF,01427 754 835,www.shepherdsplacefarm.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Child goes free with a paying adult.,YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Animals
59,Millie Meerkat Playbarn,"Unit 5 Livestock & Auction Centre, Wenlock Road",Tasley,Bridgnorth,West Midlands,WV16 4QR,01746 767 907,www.meerkatplaybarn.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Childrens Soft playbarn with cafe and interactive animal encounter.,YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Action
60,Mayhem Paintball & Laser Tag,Pryors Farm,Patch Park,Abridge,Essex ,RM4 1AA,01708 688 517,www.mayhem-paintball.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Buy one get one free on paintball day fee,YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Action
61,Mayhem Paintball & Laser Tag,Pryors Farm,Patch Park,Abridge,Essex ,RM4 1AA,01708 688 517,www.laser-mayhem.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Buy one get one free on 2 hour laser tag session,YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Action
62,Dimbola Museum and Galleries,Terrace Lane,,Freshwater Bay,Isle of wight,PO40 9QE,01983 756 814,www.dimbola.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry to the museum. Cheapest ticket free.,Ground Floor only,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Historic
63,Banana Beach,"Unit 20A, North Seaton Industrial Estate",,Ashington,Northumberland,NE63 0YB,01670 819 600,www.banana-beach.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry.,YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Action
64,Braintree Museum,Manor Street,,Braintree,Essex,SM7 3HW,01376 325 266,www.braintreemuseum.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Two for one Tuesday to Friday, excluding School Holidays & Saturdays. Applies for admission to the museum.",YES,,1. Check your venue's location,2. Claim your chosen reward,3. Print Voucher,"4. Book your visit, either online or by giving your chosen venue a call",5. Hand in your voucher upon arrival,,,Historic
