OfferId,Outlet Name,Address line 1,Address line 2,Town/city,County,Postcode,Phone  ,Website,Description,Disabled access,ClaimCode,BookingInstructions
11,Bibury Trout Farm,Bibury,,Cirencester,Gloucestershire,GL7 5NL,01285 740215 or 740212,www.biburytroutfarm.co.uk,"Working Trout Farm in beautiful Cotswold village. Feed the fish, lovely gift shop, refreshments, beginners fishery, plants, stoneware etc. (5-16yrs) £2.00, 1 admission with 1 full paying adult, Adult Entry: £3.00, Open Mar - Oct daily Mon to Sat from 9am-",YES,,
12,Birdworld,Holt Pound,,Farnham,Surrey,GU10 4LD,01420 22140,www.birdworld.co.uk,"March 26th – Oct 27th Park fully open 10am - 6.00pm. (Last admission 5.00pm), Oct 28th – March 25th Park fully open from 10am - 4.30pm. (Last admission 3.30pm), Closed Christmas day and Boxing day.",YES,,
13,Blackbrook Zoological Park,Blackbrook,Nr Leek,Staffordshire,Staffordshire,ST13 7QR, 01538 308293/387159,www.blackbrookzoologicalpark.co.uk,"N/A Bank Holidays, Adults £8.95 Concessions £6.50 Child (4-16) £5.00, adult £6.99 Children £5.99 oap £5.99 family (2 + 2) £24",YES,,
14,Bodenham Arboretum & Earth Centre,Wolverley,,Kidderminster,Worcestershire,DY11 5SY,01562 852444,,"Meander through the beauty, peace and tranquillity of Bodenham...... £2.00, 1 Free Child Admission with 1 full paying customer, Adult Entry: £5.00, Daily, 11am-5pm.",YES,,
15,Breadalbane Folklore Centre,Killin,,Perthshire,,FK21 8XE,01567 820 254,www.breadalbanefolklorecentre.com,"Where the river splashes over The Falls of Dochart, it tumbles past a beautiful old waterside mill, home to The Breadalbane Folklore Centre.  Spend a while in this enchanting spot - and you'll find out what makes Scotland's 'High Country' so special.  Trace the story of Scotland's clans, and admire their treasures.  Listen to the story of St. Fillan, see his famous healing stones and discover some of the mythical tales and legneds of The Scottish Highlands.  Souvenir, Gift and Book Shop.  Open daily - Easter to October (closed on Tuesdays).  Admission: Adults £2.95, Seniors and Studens £2.50, Children £1.95, Family Ticket £7.85.  Kids go free with full paying adult",YES,,
16,Breamore House & Countryside Museum,Breamore,,Fordingbridge,Hampshire,SP6 2DF,01725 512468,www.breamorehouse.com,"Elizabethan manor built in 1583. A family home with excellent collections of pictures, furniture and needlework. Visitors are taken back to when a village was self sufficient with life sized 'shops'. £5.00, 1 Free Admission with 1 Full Paying Adult, Adult",YES,,
17,Brechin Castle Centre,Haughmuir,, Brechin, Angus, DD9 6RL,01356 626 813,,,YES,,
18,British Cycling Museum,The Old Station,,Camelford,Cornwall,PL32 9TZ,01840 212811,www.motormuseums.com,"The nation's largest and foremost museum of cycling history. Over 400 cycles and thousands of items of cycling memorabilia from 1818 to date. Extensive library of books.  The first cycle oil lamp and window displays of gas, candle, battery and oil lightin",YES,,
19,British Lawnmower Museum,106-114 Shakespeare Street,,Southport,Merseyside,PR8 5AJ,01704 501336,www.lawnmowerworld.com,"Multi award-winning British Lawnmower Museum houses a collection of over 200 restored machines and memorabilia dating from 1799. A tribute to the garden machine industry over the last 200 years. £.050, 1 Free Admission with 1 Full Paying Adult, Jan-Dec, M",YES,,
20,Brookside Minature Railway,Brookside Garden Centre,Macclesfield Road (A523),Poynton,Cheshire,SK12 1BY,01625 872919,www.brookside-miniature-railway.co.uk,"An extensive miniature railway carrying passengers through the grounds of a large garden centre many other attractions including pottery restaurant and model shop, £1.50, 2 Rides for the Price of 1, Adult Entry: £1.50, Every weekend plus Weds, Apr-Jun and",YES,,
