OfferId,Outlet Name,Address line 1,Address line 2,Town/city,County,Postcode,Phone  ,Website,Description,Disabled access,ClaimCode,BookingInstructions,CategoryKey,
39,Museum of Power,Hatfield Road,,"Longford, (near Maldon, Essex)",Essex,CM9 6QA,01621 843 183,www.museumofpower.org.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 (one free entry with the purchase of an adult/concession) cheapest ticket free. Not available on special event days (see website for further details) Offer available Wednesday to Sunday until December 2015.,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 (one free entry with the purchase of an adult/concession) cheapest ticket free. Not available on special event days (see website for further details) Offer available Wednesday to Sunday until December 2015.,,
40,Twiggy's Play,"Unit 2, Concept Business Park",,Allendale Road,Thirsk,YO7 3NY,01845 523 553,www.twiggysplay.com,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 offer valid Monday to Friday from 2pm - 6pm during term time ONLY.
Valid until January 2016",,,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 offer valid Monday to Friday from 2pm - 6pm during term time ONLY.
Valid until January 2016",,
41,Wheal Martyn Museum and Country Park,Carthew,,St Austell,Cornwall,PL26 8XG,01726 850 362,www.wheal-martyn.com,"Advanced booking is required. All Group admittances are at the discretion of the venue. Save up to �9.50. 2 for 1 entry. Buy a full priced adult ticket and receive one ticket free. Free entry will be of equal or lower value to the one purchased. One discount per transaction, no cash refund or alternative.","YES - Due to the historic nature of the Wheal Martyn grounds access to some parts of the site is limited. The interactive gallery, shop and cafe are fully accessible.",,"Advanced booking is required. All Group admittances are at the discretion of the venue. Save up to �9.50. 2 for 1 entry. Buy a full priced adult ticket and receive one ticket free. Free entry will be of equal or lower value to the one purchased. One discount per transaction, no cash refund or alternative.",,
42,Grampian Transport Museum,Alford,,,Aberdeenshire,AB33 8AE,01975 562 292,www.GTM.org.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Excludes following dates: 10/04/2015, 24/05/2015, 05/07/2015, 09/07/2015, 19/07/2015, 24/07/2015, 06/08/2015, 12/08/2015, 16/08/2015, 06/09/2015, 15/10/2015, 21/10/2015, 23/10/2015",YES - (Ground Floor) Partial,,"Advanced booking is required. All Group admittances are at the discretion of the venue. Excludes following dates: 10/04/2015, 24/05/2015, 05/07/2015, 09/07/2015, 19/07/2015, 24/07/2015, 06/08/2015, 12/08/2015, 16/08/2015, 06/09/2015, 15/10/2015, 21/10/2015, 23/10/2015",,
43,The Devil's Porridge Museum,Stanfield,Annan Road,Eastriggs,Nr Annan,DG12 6TF,01461 700 021,www.devilsporridge.org.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Two for one entry.,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. Two for one entry.,,
44,Marsh Farm Animal Adventure Park,Marsh Road,South Woodham Ferrers,Chelmsford,Essex,CM3 5WP,01245 321 552,www.marshfarm.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Can only be used for general admission, not special events. One voucher per full paying customer, valid for single use until expiration 31st August 2015. ",YES,,"Advanced booking is required. All Group admittances are at the discretion of the venue. Can only be used for general admission, not special events. One voucher per full paying customer, valid for single use until expiration 31st August 2015. ",,
45,Partyman world of play,Unit 9 The Boardwalk,West Thurrock,Grays,Essex,RM20 2ZP,01708 890 033,www.partymanworld.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Excludes special events, i.e Halloween and Christmas Parties",YES,,"Advanced booking is required. All Group admittances are at the discretion of the venue. Excludes special events, i.e Halloween and Christmas Parties",,
46,Partyman world of play,Unit 14 Repton Close,Burnt Mills,Basildon,Essex,SS13 1LJ,01268 208660,www.partymanworld.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Excludes special events, i.e Halloween and Christmas Parties",YES,,"Advanced booking is required. All Group admittances are at the discretion of the venue. Excludes special events, i.e Halloween and Christmas Parties",,
47,Partyman world of play,Vale Farm,,Watford Road,Wembley,HA0 3HG,020 8904 9044,www.partymanworld.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Excludes special events, i.e Halloween and Christmas Parties",YES,,"Advanced booking is required. All Group admittances are at the discretion of the venue. Excludes special events, i.e Halloween and Christmas Parties",,
48,Partyman world of play,Roaring Meg Retail Park,,Stevenage,Hertfordshire,SG1 1XN,01438 745823,www.partymanworld.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Excludes special events, i.e Halloween and Christmas Parties",YES,,"Advanced booking is required. All Group admittances are at the discretion of the venue. Excludes special events, i.e Halloween and Christmas Parties",,
49,Mount Stuart,Mount Stuart Drive,Wemyss Bay,Inverclyde,Isle of Bute,PA20 9LR,01700 503 877 / 01700 505 808,www.mountstuart.com,Advanced booking is required. All Group admittances are at the discretion of the venue. Mount Stuart is Open to the public from 29th March to 4th October 2015. Mount Stuart will be closed on select dates. Please check our website or call our team on 01700 503 877 for further information.,Partial Disabled Access,,Advanced booking is required. All Group admittances are at the discretion of the venue. Mount Stuart is Open to the public from 29th March to 4th October 2015. Mount Stuart will be closed on select dates. Please check our website or call our team on 01700 503 877 for further information.,,
50,Newmilns Snow and Sports Complex,35 High Street,Newmilns,East Ayrshire,Scotland,KA16 9EB,01560 322 320,www.skinewmilns.com,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 tubing for a hour. Only available Monday to Friday. Must be booked in advance. For ages 3+. Not available on Scottish public holidays or school holidays, with the exception of summer.",Yes into the Hut but not to the Toilets,,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 tubing for a hour. Only available Monday to Friday. Must be booked in advance. For ages 3+. Not available on Scottish public holidays or school holidays, with the exception of summer.",,
51,Lincolnshire Aviation Heritage Centre,East Kirkby,,Spilsby,Lincolnshire,PE23 4DE,01790 763 207,www.lincsaviation.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 not valid on Special events.,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 not valid on Special events.,,
52,Keith & Dufftown Railway,Dufftown Station,Station Road,Dufftown,Moray,AB55 4BA,01340 821 181,www.keith-dufftown-railway.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Railway operates weekends Easter to end of September. One child travels free with one adult fare paying passenger. Offer is not valid for special events or evening specials,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. Railway operates weekends Easter to end of September. One child travels free with one adult fare paying passenger. Offer is not valid for special events or evening specials,,
53,Arniston House,Arniston Estate,,Gorebridge,Midlothian ,EH23 4RY,01875 830 515,www.arniston-house.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 adults tour tickets for the price of one during 2015 open season.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 adults tour tickets for the price of one during 2015 open season.,,
54,British Lawnmower Museum,106-114 Shakespeare St,,Southport,Merseyside,PR8 5AJ,01704 501 336,www.lawnmowerworld.com,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1,YES to 50%,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1,,
55,Llancaiach Fawr Manor,Gelligaer Road,Nelson,Treharris,Merthyr Tydfil,CF46 6ER,01443 412 248,www.llancaiachfawr.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 excludes wednesdays, 22 & 29th July, 5th, 12th, 19th August.",YES,,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 excludes wednesdays, 22 & 29th July, 5th, 12th, 19th August.",,
56,Green Howards Museum,Trinity Church Square,,Richmond,North Yorkshire,DL10 4QN,01748 806 561,www.greenhowards.org.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry - no exclusions. Open Mon - Sat 9 - 4. Sundays April - October.,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry - no exclusions. Open Mon - Sat 9 - 4. Sundays April - October.,,
57,Look And Sea Centre,63 - 65 Surrey Street,,Little Hampton,West Sussex,BN17 5AW,01903 718 984,www.lookandsea.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Child goes free when accompanied by a full paying adult,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. Child goes free when accompanied by a full paying adult,,
58,Cider Museum,21 Ryelands Street,,Hereford,Herefordshire,HR4 0LW,01432 354 207,www.cidermuseum.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 Aopen Hours: April - October 10am - 5 pm, November - March 11am - 3 pm. Closed Sundays but open Bank Holiday weekends.,Ground Floor only,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 Aopen Hours: April - October 10am - 5 pm, November - March 11am - 3 pm. Closed Sundays but open Bank Holiday weekends.
59,Shepherds Place Farm,Akeferry Road,,Doncaster,South Yorkshire,DN9 2NF,01427 754 835,www.shepherdsplacefarm.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. child goes free with a paying adult.,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. child goes free with a paying adult.,,
60,Millie Meerkat Playbarn,"Unit 5 Livestock & Auction Centre, Wenlock Road",Tasley,Bridgnorth,West Midlands,WV16 4QR,01746 767 907,www.meerkatplaybarn.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Childrens Soft playbarn with cafe and interactive animal encounter.,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. Childrens Soft playbarn with cafe and interactive animal encounter.,,
61,Mayhem Paintball & Laser Tag,Pryors Farm,Patch Park,Abridge,Essex ,RM4 1AA,01708 688 517,www.mayhem-paintball.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Buy one get one free on paintball day fee,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. Buy one get one free on paintball day fee,,
62,Mayhem Paintball & Laser Tag,Pryors Farm,Patch Park,Abridge,Essex ,RM4 1AA,01708 688 517,www.laser-mayhem.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Buy one get one free on 2 hour laser tag session,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. Buy one get one free on 2 hour laser tag session,,
63,Dimbola Museum and Galleries,Terrace Lane,,Freshwater Bay,Isle of wight,PO40 9QE,01983 756 814,www.dimbola.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry to the museum. Cheapest ticket free.,Ground Floor only,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry to the museum. Cheapest ticket free.,,
64,Banana Beach,"Unit 20A, North Seaton Industrial Estate",,Ashington,Northumberland,NE63 0YB,01670 819 600,www.banana-beach.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1,,
65,Braintree Museum,Manor Street,,Braintree,Essex,SM7 3HW,01376 325 266,www.braintreemuseum.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Two for one Tuesday to Friday, excluding School Holidays & Saturdays. Applies for admission to the museum.",YES,,"Advanced booking is required. All Group admittances are at the discretion of the venue. Two for one Tuesday to Friday, excluding School Holidays & Saturdays. Applies for admission to the museum.",,
66,Adventure Golf Island,Fife Leisure Park,Whimbrel Place,Dunfermline,Fife,KY11 8EX,01383 737 152,www.adventure-golf-island.com,Advanced booking is required. All Group admittances are at the discretion of the venue. Excludes bank holidays and at managers discretion. 2 games for the price of 1,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. Excludes bank holidays and at managers discretion. 2 games for the price of 1,,
67,Llangollen Motor Museum,Pentrefelin,,Llangollen,Denbighshire,LL20 8EE,01978 860 324,www.llangollenmotormuseum.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 open March to October,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 open March to October,,
68,Dinosaur Safari Adventure Golf,A1 Golf Driving Range,Rowley Lane,Arkley,London,EN5 3HW,0208 449 4397,www.dinosaursafari.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2-4-1 One entry free with one full paying adult, exclusions dates - 28/03/2015 to 12/04/2015 and 25/7/2015 to 05/09/2015",YES,,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2-4-1 One entry free with one full paying adult, exclusions dates - 28/03/2015 to 12/04/2015 and 25/7/2015 to 05/09/2015",,
69,Lightwater Valley,North Stainley,,Ripon,North Yorkshire,HG4 3HT,01765 635 321,www.lightwatervalley.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 tickets on our pay on the day over 1 metre tickets (usually �28 per person) Valid from 28 March 2015 - 1 November 2015 - See website for opening dates,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 tickets on our pay on the day over 1 metre tickets (usually �28 per person) Valid from 28 March 2015 - 1 November 2015 - See website for opening dates,,
70,Beaver Water World,Waylands Farm,,Approach Road,Tatsfield,TN16 2JT,01959 577 747,www.beaverwaterworld.com,Advanced booking is required. All Group admittances are at the discretion of the venue. 1 free child with a full paying adult,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. 1 free child with a full paying adult,,
